dataset,sample_index,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_margin,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_margin,tda_changed_prediction,tda_beneficial_flip,tda_harmful_flip,tda_other_changed_wrong,tda_positive_cache_size,tda_negative_cache_size,tda_negative_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_margin,freetta_changed_prediction,freetta_beneficial_flip,freetta_harmful_flip,freetta_other_changed_wrong,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,samples,tda_total_cache_slots,oracle_centroid_acc,oracle_1nn_acc,geometry_alignment_score,sample_path
imagenet,9083,9083,908,404,0,0.0010605866555124521,6.907647132873535,0.004517942667007446,404,0,0.11197059601545334,5.287321090698242,0.328216552734375,0,0,0,0,2817,1577,0,908,1,0.12733137607574463,5.099584579467773,0.17610931396484375,1,1,0,0,0.04311868691931009,1.0327748896088451e-05,1.128663182258606,3.915789842605591,0.3629652099609375,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/908/9b5e31f85997b09ad3f75a28d9f0fddf837ea486.jpeg
imagenet,6249,6249,624,61,0,0.0010475916787981987,6.907615661621094,0.0008107125759124756,822,0,0.028150256723165512,5.751204967498779,0.0113067626953125,1,0,0,1,2286,1216,0,624,1,0.041706208139657974,5.626071929931641,0.2076413631439209,1,1,0,0,0.03633883795269083,4.057426849612966e-05,1.1319454908370972,3.894928455352783,0.359242919921875,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/624/af4e65301600c9d2d0b4dbc023d079e6492f6cf1.jpeg
imagenet,9199,9199,919,458,0,0.0010847470257431269,6.907546520233154,0.0027922391891479492,458,0,0.22982880473136902,3.4705023765563965,0.0062427520751953125,0,0,0,0,2834,1597,0,919,1,0.21940217912197113,3.2725372314453125,0.11368560791015625,1,1,0,0,0.12532036430264018,5.640351810143329e-05,1.1285052299499512,3.9158825874328613,0.3631436767578125,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/919/fae786fd4db808768852dc91f36d6afeb09da701.jpeg
imagenet,9841,9841,984,979,0,0.0011064207646995783,6.907546520233154,0.001668006181716919,979,0,0.5504136681556702,1.2501599788665771,0.3996315002441406,0,0,0,0,2940,1661,0,984,1,0.47772666811943054,1.2492107152938843,0.11906051635742188,1,1,0,0,0.38420764676652097,0.00011646294296951964,1.1278849840164185,3.9503841400146484,0.36385125732421875,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/984/4c0108f25eff68a5e644f441a1a88b4c6a028d60.jpeg
imagenet,5323,5323,532,926,0,0.0010864052455872297,6.907546043395996,0.0028499364852905273,926,0,0.4877660274505615,2.62935209274292,1.2477951049804688,0,0,0,0,1951,1036,0,532,1,0.2481999397277832,2.7215659618377686,0.06279385089874268,1,1,0,0,0.150632914505893,0.0002609306829981506,1.131459355354309,3.8408899307250977,0.3597740173339844,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/532/64fe3bd53916ee59b7fca6ee981a1492a11a1bae.jpeg
imagenet,4352,4352,435,876,0,0.0011228370713070035,6.907530784606934,0.0011050999164581299,876,0,0.746231198310852,0.7676992416381836,1.2021198272705078,0,0,0,0,1463,765,0,435,1,0.5427106022834778,0.9766883850097656,0.2687721848487854,1,1,0,0,0.5231349346862393,0.0013039486948400736,1.1150230169296265,3.788817882537842,0.3772327880859375,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/435/1231e05431db87f92baf3ed5d05539fd7dd5858d.jpeg
imagenet,5724,5724,572,441,0,0.0010949925053864717,6.907526969909668,0.000982731580734253,441,0,0.24110256135463715,2.9886040687561035,0.016201019287109375,0,0,0,0,2100,1116,0,572,1,0.21142520010471344,2.8895998001098633,0.11976230144500732,1,1,0,0,0.16808908641294418,0.0001318809372605756,1.131895661354065,3.873033285140991,0.3592920532226562,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/572/8b8edbec3e26409dc20236aed7cee2def2e1f254.jpeg
imagenet,6967,6967,696,418,0,0.0010923149529844522,6.907525062561035,0.0009035170078277588,418,0,0.24578429758548737,2.9013590812683105,0.23845291137695312,0,0,0,0,2458,1330,0,696,1,0.252424031496048,2.538571357727051,0.04359996318817139,1,1,0,0,0.17914027879159813,0.00012040534784318879,1.131058692932129,3.9159021377563477,0.360251220703125,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/696/cb03a3e56494fff1379f990dcc963ae97e93d552.jpeg
imagenet,6975,6975,697,532,0,0.001070129917934537,6.907519340515137,0.0013897866010665894,917,0,0.10536495596170425,4.799421787261963,0.3400745391845703,1,0,0,1,2460,1331,0,697,1,0.10747480392456055,4.566767692565918,0.020355224609375,1,1,0,0,0.06069047883401611,6.0391310398699716e-05,1.1310687065124512,3.9157562255859375,0.3602397766113281,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/697/8c1d9f4cfd117fe16ca7e34a71baa1928fc97ba7.jpeg
imagenet,6558,6558,655,445,0,0.001078612171113491,6.9075117111206055,0.0005429387092590332,445,0,0.12010174244642258,4.315656661987305,0.12272834777832031,0,0,0,0,2369,1269,0,655,1,0.18625769019126892,3.5414628982543945,0.3023853302001953,1,1,0,0,0.09430223566223923,9.367448365082964e-05,1.131653904914856,3.908588409423828,0.35957382202148436,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/655/cf1d730933b28215e5925cab59e5bfbf4bc53ff7.jpeg
imagenet,6086,6086,608,842,0,0.0011320776538923383,6.90750789642334,0.0013831555843353271,842,0,0.6802660226821899,0.7693089246749878,0.8216724395751953,0,0,0,0,2228,1185,0,608,1,0.6038747429847717,0.8993143439292908,0.5205117464065552,1,1,0,0,0.551328750595147,0.0005334872403182089,1.1320704221725464,3.8917784690856934,0.3590998229980469,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/608/b0e77f5feea61f6021380d901be17e215169b076.jpeg
imagenet,7438,7438,743,904,0,0.0011127261677756906,6.90750789642334,0.0007857978343963623,904,0,0.5360735654830933,1.5198469161987305,0.6531352996826172,0,0,0,0,2578,1405,0,743,1,0.39020752906799316,1.7509320974349976,0.10414129495620728,1,1,0,0,0.31288156344829854,0.00014852722233626992,1.1305724382400513,3.922288179397583,0.3608013916015625,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/743/83211d8e8a5b7bcbea8cb0b774731151b3d6b236.jpeg
imagenet,4242,4242,424,423,0,0.0011109040351584554,6.907505035400391,0.002360910177230835,423,0,0.4596293568611145,1.7723124027252197,0.27837181091308594,0,0,0,0,1411,735,0,424,1,0.4554288685321808,1.3752541542053223,0.05587196350097656,1,1,0,0,0.3722478984342064,0.0015277162892743945,1.108647108078003,3.7706196308135986,0.383707275390625,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/424/7b5668cec2f6da3663fee2873f8ff9c72d6ce1bf.jpeg
imagenet,8266,8266,826,409,0,0.001107854419387877,6.907504081726074,0.0009686648845672607,409,0,0.37724077701568604,2.371581554412842,0.7883586883544922,0,0,0,0,2731,1511,0,826,1,0.26650911569595337,2.31695294380188,0.06821072101593018,1,1,0,0,0.22659066608909176,5.292447895044461e-05,1.1296428442001343,3.9270339012145996,0.3618546752929688,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/826/810b3406f5f570e5e5015a2f8929d94b14015e2c.jpeg
imagenet,4315,4315,431,516,0,0.001122134504839778,6.907498359680176,0.0014280378818511963,516,0,0.4269726872444153,1.50323486328125,0.3470649719238281,0,0,0,0,1439,751,0,431,1,0.32709401845932007,1.5576717853546143,0.08810043334960938,1,1,0,0,0.37832765731560636,0.0006350440089590847,1.1134568452835083,3.7856955528259277,0.3789052734375,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/431/61e43653abcac933706f284976d14177b98a284f.jpeg
imagenet,9798,9798,979,350,0,0.0011195291299372911,6.907497406005859,0.00020503997802734375,350,0,0.47054430842399597,1.451756477355957,0.2312183380126953,0,0,0,0,2937,1657,0,979,1,0.47686734795570374,1.3529154062271118,0.2944183349609375,1,1,0,0,0.41628759870807686,7.343867036979645e-05,1.127891182899475,3.9504554271698,0.363843994140625,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/979/e545c01e6ef843620f5ceed420f73dc88a6ae793.jpeg
