dataset,sample_index,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_margin,tda_pred,tda_correct,tda_order_rank,tda_confidence,tda_entropy,freetta_pred,freetta_correct,freetta_order_rank,freetta_confidence,freetta_entropy,edgefreetta_pred,edgefreetta_correct,edgefreetta_confidence,edgefreetta_entropy,edgefreetta_updated,edgefreetta_update_weight,edgefreetta_adapter_norm,edgefreetta_residual_norm
imagenet,0,0,0,0,1,0.0012027875054627657,6.907268524169922,0.07144239544868469,0,1,8120,0.9989328980445862,0.010923873633146286,0,1,8120,0.001247541862539947,6.907054901123047,0,1,0.0012028100900352001,6.907268524169922,0.0,1.0024367056585075e-15,0.0,0.0
imagenet,1,1,0,395,0,0.0011297013843432069,6.9073357582092285,0.01926305890083313,395,0,1160,0.653616726398468,1.5819435119628906,395,0,1160,0.0011572008952498436,6.9071526527404785,395,0,0.0011296821758151054,6.90733528137207,0.0,1.0021003276993292e-15,0.0,0.0
imagenet,2,2,0,0,1,0.0012002252042293549,6.907052993774414,0.0599764883518219,0,1,5597,0.9960746765136719,0.03584659844636917,0,1,5597,0.0012442111037671566,6.906747341156006,0,1,0.0012002409202978015,6.907052993774414,0.0,1.0035195314024538e-15,0.0,0.0
imagenet,3,3,0,0,1,0.001209485693834722,6.907352924346924,0.09064061939716339,0,1,4647,0.999942421913147,0.0007967190467752516,0,1,4647,0.0012558280723169446,6.907176971435547,0,1,0.0012095390120521188,6.907353401184082,0.0,1.0020123421519331e-15,0.0,0.0
imagenet,4,4,0,0,1,0.0012358847307041287,6.907127380371094,0.07695770263671875,0,1,7880,0.9995076656341553,0.004972717259079218,0,1,7880,0.0012886530021205544,6.906852722167969,0,1,0.0012359032407402992,6.907127380371094,0.0,1.0031444016859385e-15,0.0,0.0
imagenet,5,5,0,0,1,0.0012355901999399066,6.907135009765625,0.09523731470108032,0,1,6224,0.9999752044677734,0.00035371416015550494,0,1,6224,0.0012882865266874433,6.906864166259766,0,1,0.0012356062652543187,6.907135486602783,0.0,1.0031061793241937e-15,0.0,0.0
imagenet,6,6,0,0,1,0.001206856919452548,6.907271385192871,0.06508278846740723,0,1,9252,0.9987527132034302,0.012421748600900173,0,1,9252,0.001252524321898818,6.907059192657471,0,1,0.001206889166496694,6.907271862030029,0.0,1.002421459065457e-15,0.0,0.0
imagenet,7,7,0,0,1,0.0011974343797191978,6.907171249389648,0.0663897693157196,0,1,8957,0.9989330172538757,0.01114230789244175,0,1,8957,0.0012407900067046285,6.906916618347168,0,1,0.001197471166960895,6.907171249389648,0.0,1.0029224790537579e-15,0.0,0.0
imagenet,8,8,0,0,1,0.0011295980075374246,6.907341480255127,0.009583890438079834,0,1,2433,0.466480553150177,1.7880223989486694,0,1,2433,0.0011571000795811415,6.907160758972168,0,1,0.0011296331649646163,6.907341480255127,0.0,1.0020697286341096e-15,0.0,0.0
imagenet,9,9,0,0,1,0.0011980710551142693,6.907072067260742,0.04835379123687744,0,1,391,0.995545506477356,0.03780762106180191,0,1,391,0.0012415401870384812,6.90677547454834,0,1,0.001198083395138383,6.9070725440979,0.0,1.003419899152033e-15,0.0,0.0
