dataset,sample_index,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_margin,tda_pred,tda_correct,tda_order_rank,tda_confidence,tda_entropy,freetta_pred,freetta_correct,freetta_order_rank,freetta_confidence,freetta_entropy,edgefreetta_pred,edgefreetta_correct,edgefreetta_confidence,edgefreetta_entropy,edgefreetta_updated,edgefreetta_update_weight,edgefreetta_adapter_norm,edgefreetta_residual_norm
eurosat,0,0,0,0,1,0.10116509348154068,2.3025307655334473,0.0007639825344085693,2,0,5361,0.5286941528320312,1.2070469856262207,0,1,0,0.1018652692437172,2.302446126937866,0,1,0.10116509348154068,2.3025307655334473,0.0,0.00010002173075918108,0.0,0.0
eurosat,1,1,0,3,0,0.10647308081388474,2.302244186401367,0.0551849901676178,3,0,4758,0.9816994667053223,0.11671900749206543,3,0,1,0.10986123234033585,2.301741600036621,3,0,0.10647308081388474,2.302244186401367,0.0,0.00010013645805884153,0.0,0.0
eurosat,2,2,0,0,1,0.10404857993125916,2.302184820175171,0.006397128105163574,0,1,3740,0.5539109110832214,1.0085630416870117,0,1,2,0.10720684379339218,2.301480293273926,0,1,0.10404857993125916,2.302184820175171,0.0,0.00010016023588832468,0.0,0.0
eurosat,3,3,0,0,1,0.10513253509998322,2.30208683013916,0.009413987398147583,0,1,7065,0.9412911534309387,0.2649025022983551,0,1,3,0.10872084647417068,2.3012900352478027,0,1,0.10513254255056381,2.3020873069763184,0.0,0.00010019951150752604,0.0,0.0
eurosat,4,4,0,2,0,0.10118555277585983,2.3025224208831787,0.0009569078683853149,2,0,6756,0.4784741997718811,1.292367696762085,0,1,4,0.10214976966381073,2.3024444580078125,2,0,0.10118555277585983,2.3025224208831787,0.0,0.00010002507042372599,0.0,0.0
eurosat,5,5,0,0,1,0.10514653474092484,2.302051067352295,0.007286876440048218,0,1,3866,0.855843186378479,0.4765115976333618,0,1,5,0.10851418226957321,2.3012590408325195,0,1,0.10514653474092484,2.302051067352295,0.0,0.00010021383786806837,0.0,0.0
eurosat,6,6,0,0,1,0.10169852524995804,2.302457809448242,0.004244029521942139,2,0,7163,0.442409873008728,1.398747205734253,0,1,6,0.1030735895037651,2.3022964000701904,0,1,0.10169852524995804,2.302457809448242,0.0,0.0001000509291770868,0.0,0.0
eurosat,7,7,0,3,0,0.10103410482406616,2.3025565147399902,0.003980010747909546,1,0,2794,0.562346875667572,1.0058985948562622,0,1,7,0.10141931474208832,2.302523612976074,3,0,0.10103410482406616,2.3025565147399902,0.0,0.00010001143527915701,0.0,0.0
eurosat,8,8,0,0,1,0.10162737220525742,2.3024797439575195,0.00011268258094787598,2,0,6994,0.6164891123771667,1.0653269290924072,0,1,8,0.10298755019903183,2.302349090576172,0,1,0.10162737220525742,2.3024797439575195,0.0,0.00010004214709624648,0.0,0.0
eurosat,9,9,0,0,1,0.10268553346395493,2.3022847175598145,0.00037598609924316406,5,0,81,0.47570177912712097,1.2003792524337769,6,0,9,0.1047757938504219,2.3018805980682373,0,1,0.10268553346395493,2.3022847175598145,0.0,0.00010012022539740428,0.0,0.0
eurosat,10,10,0,0,1,0.101131372153759,2.3025331497192383,0.0011748671531677246,1,0,4754,0.7230960130691528,1.0075595378875732,6,0,10,0.10229836404323578,2.302452564239502,0,1,0.1011313870549202,2.3025331497192383,0.0,0.00010002077760873362,0.0,0.0
eurosat,11,11,0,3,0,0.1017252653837204,2.3024401664733887,0.0011107921600341797,3,0,6664,0.34802523255348206,1.9005162715911865,0,1,11,0.10222700983285904,2.302311658859253,3,0,0.1017252653837204,2.3024401664733887,0.0,0.00010005798685597256,0.0,0.0
eurosat,12,12,0,3,0,0.10101160407066345,2.3025548458099365,0.0010806620121002197,2,0,6587,0.4935620427131653,1.1312183141708374,0,1,12,0.1016504094004631,2.3025083541870117,3,0,0.10101160407066345,2.3025546073913574,0.0,0.00010001210466725752,0.0,0.0
eurosat,13,13,0,0,1,0.10189453512430191,2.302440881729126,0.0013038218021392822,5,0,6253,0.48241686820983887,1.2800304889678955,6,0,13,0.10338607430458069,2.3022634983062744,0,1,0.10189453512430191,2.302440881729126,0.0,0.00010005769581766799,0.0,0.0
eurosat,14,14,0,5,0,0.10155484080314636,2.302497386932373,0.0006472468376159668,2,0,4535,0.6177580952644348,1.1093376874923706,5,0,14,0.10287238657474518,2.3023550510406494,5,0,0.10155484080314636,2.302497386932373,0.0,0.00010003508941736072,0.0,0.0
eurosat,15,15,0,0,1,0.10397797077894211,2.302175521850586,0.0047650933265686035,0,1,1631,0.6501870155334473,0.7870762944221497,0,1,15,0.10656747221946716,2.3016459941864014,0,1,0.10397795587778091,2.302175521850586,0.0,0.00010016396117862314,0.0,0.0
eurosat,16,16,0,0,1,0.10407811403274536,2.302208185195923,0.004903525114059448,0,1,967,0.5590583086013794,0.9453287124633789,0,1,16,0.10670872032642365,2.3016862869262695,0,1,0.10407811403274536,2.302208185195923,0.0,0.00010015087900683284,0.0,0.0
eurosat,17,17,0,7,0,0.10163401067256927,2.302530288696289,0.005712419748306274,2,0,5003,0.5369558334350586,1.5292768478393555,7,0,17,0.10206474363803864,2.3025026321411133,7,0,0.10163401067256927,2.302530288696289,0.0,0.00010002191993407905,0.0,0.0
eurosat,18,18,0,3,0,0.1012534648180008,2.3025336265563965,0.0016446709632873535,1,0,453,0.2705879211425781,1.9495843648910522,5,0,18,0.10109945386648178,2.302502155303955,3,0,0.1012534648180008,2.3025336265563965,0.0,0.00010002058843383566,0.0,0.0
eurosat,19,19,0,0,1,0.10305155813694,2.3023791313171387,0.006772547960281372,0,1,2640,0.5379966497421265,1.372812032699585,0,1,19,0.10522257536649704,2.302079200744629,0,1,0.10305155813694,2.3023791313171387,0.0,0.00010008241952164099,0.0,0.0
eurosat,20,20,0,0,1,0.10202929377555847,2.3024582862854004,0.005510061979293823,0,1,7798,0.39744505286216736,1.5576790571212769,0,1,20,0.1035962626338005,2.3023085594177246,0,1,0.10202929377555847,2.3024582862854004,0.0,0.00010005074000218883,0.0,0.0
eurosat,21,21,0,4,0,0.10148483514785767,2.3024778366088867,0.0030829310417175293,1,0,6077,0.33052515983581543,1.82326078414917,0,1,21,0.10217712819576263,2.302375078201294,4,0,0.10148483514785767,2.3024778366088867,0.0,0.00010004291834775358,0.0,0.0
eurosat,22,22,0,3,0,0.10163677483797073,2.3025665283203125,0.013891741633415222,1,0,1542,0.4739528000354767,1.2581403255462646,3,0,22,0.10151486843824387,2.3025496006011963,3,0,0.10163677483797073,2.3025665283203125,0.0,0.0001000074262265116,0.0,0.0
eurosat,23,23,0,0,1,0.1031918078660965,2.302340507507324,0.006119400262832642,0,1,5803,0.5593311190605164,1.280824065208435,0,1,23,0.10540096461772919,2.3019862174987793,0,1,0.1031918078660965,2.302340507507324,0.0,0.00010009788093157113,0.0,0.0
eurosat,24,24,0,0,1,0.10241680592298508,2.3023109436035156,0.0011454522609710693,5,0,5612,0.5155854225158691,1.1795024871826172,6,0,24,0.10423716902732849,2.301990032196045,0,1,0.10241680592298508,2.3023109436035156,0.0,0.00010010972619056702,0.0,0.0
eurosat,25,25,0,3,0,0.10064710676670074,2.3025732040405273,0.0009224116802215576,9,0,2951,0.2521505653858185,1.8889973163604736,9,0,25,0.10117965191602707,2.302541971206665,3,0,0.10064710676670074,2.3025732040405273,0.0,0.00010000475595006719,0.0,0.0
eurosat,26,26,0,0,1,0.10454483330249786,2.302213191986084,0.005478769540786743,0,1,6608,0.676095724105835,0.7785121202468872,0,1,26,0.10745394229888916,2.301673412322998,0,1,0.10454483330249786,2.302213191986084,0.0,0.00010014887811848894,0.0,0.0
eurosat,27,27,0,3,0,0.10102594643831253,2.3025503158569336,0.002117633819580078,1,0,5463,0.40054669976234436,1.8070578575134277,0,1,27,0.1017310693860054,2.3025081157684326,3,0,0.10102593898773193,2.3025503158569336,0.0,0.00010001391638070345,0.0,0.0
